task_id,annotator,status,score,submitted_date,review_round
TASK-0041,d.taylor,fail,,2025-01-27,1.0
TASK-0042,k.patel,fail,,2025-01-02,
TASK-0028,k.patel,fail,,2025-01-27,1.0
TASK-0007,m.osei,fail,,2025-05-18,1.0
TASK-0006,m.osei,pending,0.58,2025-01-12,3.0
TASK-0006,m.osei,pass,,2025-12-06,2.0
TASK-0024,d.taylor,fail,0.7,2025-06-05,1.0
TASK-0047,k.patel,pending,,2025-06-25,1.0
TASK-0015,m.osei,pending,0.4,2025-02-24,2.0
TASK-0042,d.taylor,escalated,,2025-05-03,
TASK-0038,j.roman,pending,,2025-05-11,1.0
TASK-0025,k.patel,,0.25,2025-06-24,
TASK-0035,m.osei,pending,,2025-02-10,1.0
TASK-0047,m.osei,,0.76,2025-10-06,
TASK-0033,k.patel,pending,0.76,2025-03-06,1.0
TASK-0002,m.osei,fail,,2025-05-26,1.0
TASK-0047,j.roman,,,2025-06-18,1.0
TASK-0011,m.osei,pending,,2025-03-21,
TASK-0042,j.roman,escalated,,2025-01-17,1.0
TASK-0038,j.roman,fail,0.01,2025-02-28,1.0
TASK-0022,k.patel,fail,,2025-05-19,
TASK-0037,k.patel,escalated,,2025-01-25,
TASK-0028,k.patel,escalated,0.86,2025-06-22,1.0
TASK-0026,m.osei,pass,,2025-05-18,2.0
TASK-0028,k.patel,fail,0.87,2025-04-24,1.0
TASK-0042,m.osei,pass,,2025-02-12,1.0
TASK-0031,k.patel,pass,0.16,2025-10-04,1.0
TASK-0019,d.taylor,,,2025-02-09,3.0
TASK-0014,j.roman,,,2025-01-15,1.0
TASK-0031,m.osei,,0.16,2025-02-17,1.0
TASK-0005,k.patel,pending,,2025-05-29,1.0
TASK-0006,j.roman,,,2025-02-22,2.0
TASK-0017,d.taylor,fail,0.46,2025-01-03,1.0
TASK-0037,j.roman,,,2025-03-02,1.0
TASK-0016,k.patel,escalated,,2025-06-06,
TASK-0036,d.taylor,pass,,2025-03-09,1.0
TASK-0048,m.osei,fail,,2025-02-22,1.0
TASK-0032,m.osei,pass,,2025-03-12,1.0
TASK-0022,d.taylor,fail,,2025-05-22,1.0
TASK-0001,d.taylor,pass,,2025-05-30,1.0
TASK-0007,j.roman,pending,,2025-03-02,2.0
TASK-0011,j.roman,pending,,2025-02-26,1.0
TASK-0023,m.osei,fail,,2025-04-13,3.0
TASK-0005,m.osei,pending,,2025-06-23,1.0
TASK-0008,m.osei,pass,,2025-01-10,1.0
TASK-0028,m.osei,pending,0.44,2025-04-09,3.0
TASK-0003,j.roman,,,2025-04-04,1.0
TASK-0043,j.roman,pending,0.66,2025-03-18,
TASK-0027,d.taylor,fail,,2025-04-18,
TASK-0048,j.roman,fail,0.41,2025-03-19,2.0
TASK-0028,j.roman,pending,,2025-06-22,1.0
TASK-0031,m.osei,pass,,2025-12-05,1.0
TASK-0049,m.osei,fail,,2025-01-07,2.0
TASK-0031,m.osei,pass,,2025-06-28,1.0
TASK-0026,d.taylor,pass,0.89,2025-04-19,2.0
TASK-0045,j.roman,,0.25,2025-04-27,1.0
TASK-0043,j.roman,pending,,2025-06-06,1.0
TASK-0029,d.taylor,escalated,,2025-06-13,1.0
TASK-0032,m.osei,escalated,,2025-02-03,3.0
TASK-0021,j.roman,pass,,2025-06-27,
TASK-0014,k.patel,pending,,2025-01-16,1.0
TASK-0025,j.roman,pass,,2025-05-03,3.0
TASK-0020,m.osei,pending,,2025-05-05,3.0
TASK-0028,k.patel,pending,,2025-02-12,2.0
TASK-0040,k.patel,pass,,2025-02-04,2.0
TASK-0004,m.osei,fail,,2025-08-04,1.0
TASK-0017,k.patel,pass,0.75,2025-03-31,
TASK-0005,d.taylor,pass,,2025-02-21,1.0
TASK-0010,k.patel,pass,,2025-04-30,3.0
TASK-0011,d.taylor,pass,,2025-03-21,1.0
TASK-0002,j.roman,pending,,2025-01-20,1.0
TASK-0045,m.osei,pass,0.8,2025-03-30,
TASK-0024,d.taylor,pending,,2025-05-06,1.0
TASK-0024,m.osei,escalated,,2025-02-15,1.0
TASK-0035,k.patel,pending,,2025-03-24,1.0
TASK-0018,k.patel,escalated,,2025-03-28,1.0
